AlcoholFlask = { "알코올 플라스크", "", "", "" }
ExperimentLogComedyMask = { "희극 가면 실험 기록", "", "", "" }
ExperimentLogCursedCoin = { "저주받은 동전 실험 기록", "", "", "" }
ExperimentLogBIOHXNV7 = { "바이오 HXNV7 실험 기록", "", "", "" }

BlueFolder = { "파란색 폴더", "", "", "" }
RedFolder = { "빨간색 폴더", "", "", "" }
FireExtinguisher2 = { "소화기", "", "", "" } // 원문에 "Fire extinguisher"와 "Fire Extinguisher" 둘 다 존재
Coil = { "코일", "", "", "" }
Typewriter = { "타자기", "", "", "" }
Documents = { "서류 더미", "", "", "" }
Stapler = { "스테이플러", "", "", "" }
OldComputer = { "구식 컴퓨터", "", "", "" }
BronzeTrophy = { "브론즈 트로피", "", "", "" }
Banana = { "바나나", "", "", "" }
StunBaton = { "스턴봉", "", "", "" }
BIOHXNV7Item = { "바이오-HXNV7", "", "", "" }
RecoveredSecretLog = { "복구된 비밀 일지", "", "", "" }
ExperimentLogGoldenDagger = { "황금 단검 실험 기록", "", "", "" }

Clam = { "대합", "", "", "" }
TurtleShell = { "거북이 등딱지", "", "", "" }
FishBones = { "생선 뼈", "", "", "" }
HornedShell = { "뿔 달린 껍질", "", "", "" }
PorcelainTeacup = { "도자기 찻잔", "", "", "" }
Marble = { "대리석", "", "", "" }
PorcelainBottle = { "도자기 병", "", "", "" }
PorcelainPerfumeBottle = { "도자기 향수 병", "", "", "" }
GlowingOrb = { "발광구", "", "", "" }
GoldenSkull = { "황금 해골", "", "", "" }
MapOfCosmocos = { "코스모코스 지도", "", "", "" }

WetNote1 = { "젖은 노트 1", "", "", "" }
WetNote2 = { "젖은 노트 2", "", "", "" }
WetNote3 = { "젖은 노트 3", "", "", "" }
WetNote4 = { "젖은 노트 4", "", "", "" }

CosmicShard = { "우주빛 파편", "", "", "" }
CosmicGrowth = { "우주 생장물", "", "", "" }
ChunkOfCelestialBrain = { "천상의 두뇌 덩어리", "", "", "" }
BucketOfShards = { "파편이 든 양동이", "", "", "" }
CosmicFlashlight = { "우주빛 손전등", "", "", "" }

ForgottenLog1 = { "잊혀진 일지 1", "", "", "" }
ForgottenLog2 = { "잊혀진 일지 2", "", "", "" }
ForgottenLog3 = { "잊혀진 일지 3", "", "", "" }

Glasses = { "안경", "", "", "" }
GrownPetriDish = { "생장한 배양 접시", "", "", "" }
PetriDish = { "배양 접시", "", "", "" }
Cosmochad = { "코스모채드", "", "", "" }
DyingCosmicFlashlight = { "죽어가는 우주빛 손전등", "", "", "" }
DyingCosmicGrowth = { "죽어가는 우주 생장물", "", "", "" }
BloodPetriDish = { "혈액 배양 접시", "", "", "" }
EvilCosmochad = { "악마 코스모채드", "", "", "" }
EvilCosmo = { "악마 코스모", "", "", "" }
LilCosmo = { "릴 코스모", "", "", "" }
DyingGrownPetriDish = { "죽어가는 생장물 배양 접시", "", "", "" }
WatchingPetriDish = { "감시하는 배양 접시", "", "", "" }

Microscope = { "현미경", "", "", "" }
RoundVile = { "원통형 바일", "", "", "" }
SquareVile = { "사각형 바일", "", "", "" }
OvalVile = { "타원형 바일", "", "", "" }

HarringtonLog1 = { "해링턴 일지 1", "", "", "" }
HarringtonLog2 = { "해링턴 일지 2", "", "", "" }
HarringtonLog3 = { "해링턴 일지 3", "", "", "" }
HarringtonLog4 = { "해링턴 일지 4", "", "", "" }

JarOfGrowth = { "생장물이 든 병", "", "", "" }

TapePlayerLog1 = { "테이프 플레이어 일지 1", "", "", "" }
TapePlayerLog2 = { "테이프 플레이어 일지 1", "", "", "" }
TapePlayerLog3 = { "테이프 플레이어 일지 1", "", "", "" }
TapePlayerLog4 = { "테이프 플레이어 일지 1", "", "", "" }

ShoppingCart = { "쇼핑 카트", "", "", "" }
